zipcode,lat,long,avg_profit,median_profit
98001,47.30206724137931,-122.26828735632185,24334.9943172414,24768.00000000003
98002,47.30401836734694,-122.21577551020408,30863.81224489794,31755.99999999997
98003,47.31871791044776,-122.31096268656718,30262.66820447759,30616.10999999997
98004,47.61273974358975,-122.20072435897434,97809.52984615394,97257.6000000001
98005,47.601467901234564,-122.16809876543209,100777.83901234565,101600.0
98006,47.56049214876033,-122.15363223140496,53982.34619834714,54743.75
98007,47.60282835820896,-122.13989552238807,74445.84597014924,73920.0
98008,47.615595,-122.11875,52958.68745142862,53568.00000000006
98010,47.328158333333334,-122.00122916666668,42093.97999999999,40880.0
98011,47.75596842105263,-122.20101052631578,64570.703157894706,65887.99999999994
98014,47.68052807017544,-121.77077192982456,46686.01263157893,49120.0
98019,47.74013296703297,-121.95135164835165,52389.73538461537,52800.0
98022,47.20555603448276,-121.99431896551724,31234.343012068948,31912.99999999997
98023,47.307944491525426,-122.36572033898305,20923.785423728834,21375.00000000003
98024,47.55925675675676,-121.89586486486486,55961.383783783764,54400.0
98027,47.5151431372549,-122.03847058823528,41575.92200980396,42750.00000000006
98028,47.75621582733813,-122.2466618705036,49054.11466330931,51597.20999999996
98029,47.56177151898734,-122.00513924050634,54541.31094683549,55869.00480000005
98030,47.36884274193548,-122.1871129032258,32726.088262903206,33878.70499999996
98031,47.40389090909091,-122.18873484848486,33479.80381666665,34204.62499999997
98032,47.37685666666666,-122.27536666666667,32639.23999999999,34399.99999999997
98033,47.684105238095235,-122.18236666666667,49752.8625714286,50302.5
98034,47.72342693726937,-122.20418081180811,36049.36149446499,36755.50000000006
98038,47.36631604095563,-122.03556655290103,26483.864283276456,27075.0
98039,47.6253652173913,-122.23265217391305,223245.0782608695,223680.0
98040,47.56252700729927,-122.22571532846715,109883.87447299261,111491.79999999993
98042,47.36459018867925,-122.10783018867924,22424.188245283036,22800.00000000003
98045,47.469904716981134,-121.76561320754718,42027.00222264149,41554.79999999999
98052,47.677191459074734,-122.12311743772241,47253.226850533836,48260.0
98053,47.68284568527919,-122.02069035532995,56152.481007106646,55872.00000000006
98055,47.46058015873015,-122.20250793650793,31808.91145555554,32520.704999999987
98056,47.50163299492386,-122.18048223350254,32816.46554314724,33223.68000000005
98058,47.44888028169014,-122.1573192488263,25906.904530516436,26600.0
98059,47.48584867256637,-122.13816371681415,32356.176526548705,31920.0
98065,47.53073422818792,-121.85518120805368,46805.25203758394,48960.00000000006
98070,47.420611111111114,-122.46418518518519,56552.67259259257,56400.0
98072,47.751588805970144,-122.13522388059702,56599.70297611936,57035.99999999994
98074,47.6257544600939,-122.04451643192488,49111.73119718312,50540.0
98075,47.589302247191014,-122.02409550561798,71913.48091685401,73958.40000000008
98077,47.75169895833333,-122.06697916666667,78140.95999999999,80800.0
98092,47.301461046511626,-122.17732558139535,29103.961897674446,30294.72000000003
98102,47.632880392156856,-122.32399999999998,89437.64705882351,90000.0
98103,47.682397959183675,-122.34557142857142,40733.738418367386,40850.00000000006
98105,47.66658672566372,-122.30308849557522,75117.57290973447,74690.0
98106,47.532257792207794,-122.3561038961039,28542.415044155874,29952.0
98107,47.67003410852713,-122.37652713178295,63543.34545891469,63690.19999999995
98108,47.544802272727274,-122.30811363636363,43724.82,45160.0
98109,47.634269811320756,-122.34922641509434,93791.62264150943,97600.0
98112,47.62769307692307,-122.29996153846155,90336.55530307685,92343.99999999988
98115,47.6879024911032,-122.30518505338077,43387.1957651246,43557.50000000006
98116,47.57125031847134,-122.39224840764331,52721.359979617875,52992.00000000006
98117,47.6876026119403,-122.37669776119404,41824.15694029855,42750.00000000006
98118,47.53760384615385,-122.27673076923077,27148.283568376086,27692.5
98119,47.64156847826087,-122.36856521739129,93924.91304347824,95600.0
98122,47.609671223021586,-122.30264748201438,51896.12892086335,52300.80000000005
98125,47.720079591836736,-122.30444897959183,40438.82115918372,41169.600000000035
98126,47.53756315789474,-122.37415789473684,35945.28067368425,36864.00000000006
98133,47.73564875,-122.3435375,29681.066916666685,29972.5
98136,47.54191484375,-122.3876015625,53400.70932656246,54184.19999999995
98144,47.5869263803681,-122.30250920245399,42133.29605889575,42969.600000000035
98146,47.50121729323308,-122.34880451127819,30250.869263157874,31166.099999999977
98148,47.433032000000004,-122.33004000000001,36255.35999999999,37600.0
98155,47.75238518518518,-122.31091203703703,29333.10381944446,29925.0
98166,47.462533050847455,-122.34855084745763,39549.5818033898,39636.62499999997
98168,47.488751219512196,-122.30713008130081,25761.262208130058,27159.99999999997
98177,47.74494761904762,-122.3656507936508,57869.291433333296,57850.79999999996
98178,47.497369047619046,-122.25069047619047,29500.489288888868,30351.299999999974
98188,47.447687878787875,-122.28250000000001,34510.7709090909,35999.99999999997
98198,47.39383880597015,-122.31341791044775,28484.951955223863,28687.749999999985
98199,47.64986942675159,-122.39501910828025,60939.85051719752,61632.0
